step;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita
248;597;665;28044;16256;1;9654;2062;2038;250517;103717;248890;105371
249;590;713;28326;16334;1;9749;2062;2039;251501;104016;249913;105682
250;574;661;28579;16405;1;9859;2062;2039;252561;104313;250916;106017
251;544;675;28901;16484;1;9936;2062;2039;253596;104588;251885;106364
252;579;653;29190;16575;1;10030;2063;2039;254628;104868;252931;106726
253;551;667;29448;16660;1;10137;2063;2039;255657;105148;253932;107044
254;570;665;29681;16735;1;10245;2063;2039;256629;105416;254978;107348
255;539;612;29981;16798;1;10313;2063;2040;257624;105724;256025;107688
256;561;655;30228;16870;1;10416;2064;2040;258625;105994;257095;108009
257;570;637;30558;16978;1;10480;2064;2040;259705;106246;258109;108351
258;566;637;30807;17064;1;10592;2064;2040;260680;106497;259160;108678
259;580;624;31119;17142;1;10663;2065;2040;261719;106777;260193;108989
260;569;640;31328;17239;1;10797;2065;2040;262725;107054;261211;109311
261;551;646;31610;17333;1;10886;2065;2041;263807;107339;262216;109630
262;572;655;31868;17416;1;10986;2065;2041;264845;107607;263230;109978
263;585;632;32118;17489;1;11108;2066;2041;265886;107868;264260;110312
264;584;621;32370;17551;1;11234;2066;2041;266961;108152;265250;110631
265;576;632;32608;17627;1;11340;2066;2041;268010;108442;266271;110953
266;545;630;32842;17709;1;11471;2066;2041;269022;108732;267281;111251
267;510;635;33130;17804;1;11565;2067;2042;270087;109012;268310;111572
268;581;655;33464;17898;1;11605;2067;2042;271078;109276;269369;111882
269;548;620;33704;17972;1;11715;2067;2042;272113;109573;270421;112191
270;583;678;33967;18068;1;11821;2067;2042;273162;109873;271426;112479
271;550;679;34221;18156;1;11950;2068;2042;274177;110148;272433;112832
272;560;596;34567;18234;1;12013;2068;2042;275225;110429;273446;113167
273;557;644;34835;18327;1;12107;2068;2043;276279;110720;274468;113483
274;581;616;35119;18407;1;12192;2068;2043;277262;110994;275456;113813
275;571;604;35389;18491;1;12283;2069;2043;278269;111268;276457;114111
276;574;662;35582;18605;1;12429;2069;2043;279314;111560;277509;114421
277;575;653;35836;18680;1;12557;2069;2043;280297;111844;278567;114759
278;566;643;36168;18756;1;12648;2070;2044;281290;112135;279606;115063
279;595;674;36438;18828;1;12741;2070;2044;282288;112413;280636;115395
280;564;621;36766;18913;1;12804;2070;2044;283351;112693;281675;115728
281;567;620;37037;18989;1;12913;2070;2044;284410;112978;282728;116035
282;545;655;37266;19068;1;13028;2071;2044;285406;113256;283750;116355
283;566;675;37595;19177;1;13090;2071;2044;286441;113528;284729;116681
284;578;664;37854;19251;1;13192;2071;2045;287441;113838;285726;116998
285;549;635;38167;19328;1;13271;2071;2045;288503;114116;286797;117327
286;538;659;38497;19394;1;13333;2072;2045;289548;114410;287796;117675
287;560;585;38807;19479;1;13412;2072;2045;290599;114681;288840;118008
288;594;680;39032;19582;1;13528;2072;2045;291613;114967;289823;118323
289;554;652;39337;19661;1;13612;2072;2045;292685;115260;290823;118637
290;579;678;39641;19739;1;13690;2073;2046;293713;115519;291884;118981
291;578;650;39920;19827;1;13789;2073;2046;294735;115811;292892;119313
292;552;614;40190;19907;1;13891;2073;2046;295789;116081;293845;119636
293;568;609;40499;19996;1;13973;2073;2046;296803;116358;294925;119952
294;512;634;40711;20072;1;14106;2074;2046;297854;116635;295958;120250
